,date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
0,JUN 29," Protest for Justice, Keep Families Together ",1986, TX,"419 Emancipation Ave., Houston, TX",29.753574,-95.348935,1.0,rooftop,419.0,Emancipation Ave,Houston,TX,Harris County,77003.0,US,City of Houston,"Harris County, TX: 1986 guests"," Protest for Justice, Keep Families Together , 419 Emancipation Ave., Houston, TX",#FFFACD,30,"(-95.348935, 29.753574)",Point,O'Rourke
1,JUN 29, Bands with Beto ft. Paul Wall and Gio Chamba ,2752, TX,"The West End - A Public House, Houston, TX",29.813142,-95.309789,1.0,place,,,Houston,TX,Harris County,77001.0,US,TIGER/Line® dataset from the US Census Bureau,"Harris County, TX: 2752 guests"," Bands with Beto ft. Paul Wall and Gio Chamba , The West End - A Public House, Houston, TX",#FFFACD,30,"(-95.309789, 29.813142)",Point,O'Rourke
2,JUN 30, Rally for Children at Clint Border Station ,1587, TX,"13400 Alameda Ave, Clint, TX",31.580249,-106.226882,1.0,range_interpolation,13400.0,Alameda Ave,Clint,TX,El Paso County,79836.0,US,TIGER/Line® dataset from the US Census Bureau,"El Paso County, TX: 1587 guests"," Rally for Children at Clint Border Station , 13400 Alameda Ave, Clint, TX",#FFFACD,30,"(-106.226882, 31.580249)",Point,O'Rourke
3,JUL 2, Ames House Party with Beto & Amy ,259, IA,"2108 Hughes Ave, Ames, IA",42.016904,-93.64288,1.0,rooftop,2108.0,Hughes Ave,Ames,IA,Story County,50014.0,US,Polk,"Story County, IA: 259 guests"," Ames House Party with Beto & Amy , 2108 Hughes Ave, Ames, IA",#FFFACD,30,"(-93.64288, 42.016904)",Point,O'Rourke
4,JUL 3, St. Ansgar House Party with Beto & Amy O'Rourke ,157, IA,"1360 487th St, St Ansgar, IA",43.471592,-92.948942,1.0,range_interpolation,1360.0,487th St,Saint Ansgar,IA,Mitchell County,50472.0,US,TIGER/Line® dataset from the US Census Bureau,"Mitchell County, IA: 157 guests"," St. Ansgar House Party with Beto & Amy O'Rourke , 1360 487th St, St Ansgar, IA",#FFFACD,20,"(-92.948942, 43.471592)",Point,O'Rourke
5,JUL 4, March with Beto and Amy in the Annual Independence Day Parade ,294, IA,"209 5th Ave NE, Independence, IA",42.469864,-91.890063,1.0,rooftop,209.0,5th Ave NE,Independence,IA,Buchanan County,50644.0,US,Buchanan,"Buchanan County, IA: 294 guests"," March with Beto and Amy in the Annual Independence Day Parade , 209 5th Ave NE, Independence, IA",#FFFACD,30,"(-91.890063, 42.469864)",Point,O'Rourke
6,JUL 4, Williams House Party with Beto and Amy ,142, IA,"311 Spruce St, Williams, IA",42.485888,-93.54219499999999,1.0,rooftop,311.0,Spruce St,Williams,IA,Hamilton County,50271.0,US,Hamilton,"Hamilton County, IA: 142 guests"," Williams House Party with Beto and Amy , 311 Spruce St, Williams, IA",#FFFACD,20,"(-93.54219499999999, 42.485888)",Point,O'Rourke
7,JUN 29," Protest for Justice, Keep Families Together ",1986, TX,"419 Emancipation Ave. Houston, TX",29.753574,-95.348935,1.0,rooftop,419.0,Emancipation Ave,Houston,TX,Harris County,77003.0,US,City of Houston,"Harris County, TX: 1986 guests"," Protest for Justice, Keep Families Together , 419 Emancipation Ave. Houston, TX",#FFFACD,30,"(-95.348935, 29.753574)",Point,O'Rourke
8,JUN 28, Tonight: Meet Beto with Music by Marcia Ball ,2636, TX,"Scholz Garten, Austin, TX",30.326373999999998,-97.77125799999999,1.0,place,,,Austin,TX,Travis County,73301.0,US,TIGER/Line® dataset from the US Census Bureau,"Travis County, TX: 2636 guests"," Tonight: Meet Beto with Music by Marcia Ball , Scholz Garten, Austin, TX",#FFFACD,30,"(-97.77125799999999, 30.326373999999998)",Point,O'Rourke
9,JUN 27, Stand in Solidarity at Homestead ,505, FL,"Homestead Detention Center, Homestead, FL",25.526889,-80.499812,0.9,place,,,Homestead,FL,Broward County,33031.0,US,TIGER/Line® dataset from the US Census Bureau,"Broward County, FL: 505 guests"," Stand in Solidarity at Homestead , Homestead Detention Center, Homestead, FL",#FFFACD,30,"(-80.499812, 25.526889)",Point,O'Rourke
10,JUN 22, South Carolina Democratic Convention Rally with Beto ,320, SC,"Pearlz Oyster Bar Columbia, Columbia, SC",33.987454,-81.02486400000001,1.0,place,,,Columbia,SC,Richland County,29201.0,US,TIGER/Line® dataset from the US Census Bureau,"Richland County, SC: 320 guests"," South Carolina Democratic Convention Rally with Beto , Pearlz Oyster Bar Columbia, Columbia, SC",#FFFACD,30,"(-81.02486400000001, 33.987454)",Point,O'Rourke
11,JUN 21, Join Beto at Congressman Clyburn’s World Famous Fish Fry ,352, SC,"EdVenture Children’s Museum, Columbia, SC",33.987454,-81.02486400000001,1.0,place,,,Columbia,SC,Richland County,29201.0,US,TIGER/Line® dataset from the US Census Bureau,"Richland County, SC: 352 guests"," Join Beto at Congressman Clyburn’s World Famous Fish Fry , EdVenture Children’s Museum, Columbia, SC",#FFFACD,30,"(-81.02486400000001, 33.987454)",Point,O'Rourke
12,JUN 16, Greenville Town Hall with Beto ,749, SC,"29 Ridgeway Dr, Greenville, SC",34.788284999999995,-82.384752,1.0,rooftop,29.0,Ridgeway Dr,Greenville,SC,Greenville County,29605.0,US,Greenville,"Greenville County, SC: 749 guests"," Greenville Town Hall with Beto , 29 Ridgeway Dr, Greenville, SC",#FFFACD,30,"(-82.384752, 34.788284999999995)",Point,O'Rourke
13,JUN 15, Columbia Town Hall with Beto ,747, SC,"Hunter-Gatherer at the Hangar, Columbia, SC",33.987454,-81.02486400000001,1.0,place,,,Columbia,SC,Richland County,29201.0,US,TIGER/Line® dataset from the US Census Bureau,"Richland County, SC: 747 guests"," Columbia Town Hall with Beto , Hunter-Gatherer at the Hangar, Columbia, SC",#FFFACD,30,"(-81.02486400000001, 33.987454)",Point,O'Rourke
14,JUN 15, Sumter Town Hall with Beto ,296, SC,"The Sidewalk Cafe, Sumter, SC",33.913678000000004,-80.354238,1.0,place,,,Sumter,SC,Sumter County,29150.0,US,TIGER/Line® dataset from the US Census Bureau,"Sumter County, SC: 296 guests"," Sumter Town Hall with Beto , The Sidewalk Cafe, Sumter, SC",#FFFACD,30,"(-80.354238, 33.913678000000004)",Point,O'Rourke
15,JUN 12, Pride Run with Beto ,446, NY,"Rockefeller Park, New York, NY",40.758992,-73.978431,1.0,street_center,,Rockefeller Plz,New York,NY,New York County,10020.0,US,TIGER/Line® dataset from the US Census Bureau,"New York County, NY: 446 guests"," Pride Run with Beto , Rockefeller Park, New York, NY",#FFFACD,30,"(-73.978431, 40.758992)",Point,O'Rourke
16,JUN 10, Clinton Town Hall with Beto O'Rourke ,290, IA,"1850 S Bluff Blvd, Clinton, IA",41.830999,-90.23541,1.0,range_interpolation,1850.0,S Bluff Blvd,Clinton,IA,Clinton County,52732.0,US,TIGER/Line® dataset from the US Census Bureau,"Clinton County, IA: 290 guests"," Clinton Town Hall with Beto O'Rourke , 1850 S Bluff Blvd, Clinton, IA",#FFFACD,30,"(-90.23541, 41.830999)",Point,O'Rourke
17,JUN 8, Cedar Rapids Office Opening with Beto & Amy O'Rourke ,711, IA,"417 3rd Ave SW, Cedar Rapids, IA",41.972621000000004,-91.67640899999999,1.0,rooftop,417.0,3rd Ave SW,Cedar Rapids,IA,Linn County,52404.0,US,Linn,"Linn County, IA: 711 guests"," Cedar Rapids Office Opening with Beto & Amy O'Rourke , 417 3rd Ave SW, Cedar Rapids, IA",#FFFACD,30,"(-91.67640899999999, 41.972621000000004)",Point,O'Rourke
18,JUN 8, Williamsburg Town Hall with Beto O'Rourke ,186, IA,"939 Highland St, Williamsburg, IA",41.657739,-92.007518,0.9,range_interpolation,939.0,S Highland St,Williamsburg,IA,Iowa County,52361.0,US,TIGER/Line® dataset from the US Census Bureau,"Iowa County, IA: 186 guests"," Williamsburg Town Hall with Beto O'Rourke , 939 Highland St, Williamsburg, IA",#FFFACD,20,"(-92.007518, 41.657739)",Point,O'Rourke
19,JUN 7, Knoxville Town Hall with Beto O'Rourke ,181, IA,"107 W Main St, Knoxville, IA",41.319004,-93.099289,1.0,rooftop,107.0,W Main St,Knoxville,IA,Marion County,50138.0,US,Marion,"Marion County, IA: 181 guests"," Knoxville Town Hall with Beto O'Rourke , 107 W Main St, Knoxville, IA",#FFFACD,20,"(-93.099289, 41.319004)",Point,O'Rourke
20,JUN 7, Ottumwa Town Hall with Beto O'Rourke ,203, IA,"107 E 2nd St, Ottumwa, IA",41.172251,-92.307807,1.0,range_interpolation,107.0,E 2nd St,Hedrick,IA,Keokuk County,52563.0,US,TIGER/Line® dataset from the US Census Bureau,"Keokuk County, IA: 203 guests"," Ottumwa Town Hall with Beto O'Rourke , 107 E 2nd St, Ottumwa, IA",#FFFACD,30,"(-92.307807, 41.172251)",Point,O'Rourke
