,date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
0,JUL 1, Team Warren Organizing Meeting with Rep. Joe Kennedy III ,1026, MA,"Newton, MAG",39.124505,-84.36160600000001,0.9,place,,,Newtown,OH,Hamilton County,45244,US,TIGER/Line® dataset from the US Census Bureau,"Hamilton County, OH: 1026 guests"," Team Warren Organizing Meeting with Rep. Joe Kennedy III , Newton, MAG",#fbdaee,30,"(-84.36160600000001, 39.124505)",Point,Warren
1,JUN 28, Chicago Town Hall with Elizabeth Warren ,10786, IL,"Auditorium Theatre, Chicago, IL",41.88531,-87.62213,1.0,place,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau,"Cook County, IL: 10786 guests"," Chicago Town Hall with Elizabeth Warren , Auditorium Theatre, Chicago, IL",#fbdaee,30,"(-87.62213, 41.88531)",Point,Warren
2,JUN 25, Miami Town Hall with Elizabeth Warren ,3101, FL,"Ocean Bank Convocation Center, Miami, FL",25.9663,-80.119447,1.0,street_center,,Ocean Blvd,North Miami Beach,FL,Miami-Dade County,33160,US,TIGER/Line® dataset from the US Census Bureau,"Miami-Dade County, FL: 3101 guests"," Miami Town Hall with Elizabeth Warren , Ocean Bank Convocation Center, Miami, FL",#fbdaee,30,"(-80.119447, 25.9663)",Point,Warren
3,JUN 19, Greater Boston Warren for President Volunteer Summit ,1223, MA,"Washburn Auditorium – 10 Phillips Place, Cambridge, MA",42.380441999999995,-71.132947,1.0,place,,,Cambridge,MA,Middlesex County,2138,US,TIGER/Line® dataset from the US Census Bureau,"Middlesex County, MA: 1223 guests"," Greater Boston Warren for President Volunteer Summit , Washburn Auditorium – 10 Phillips Place, Cambridge, MA",#fbdaee,30,"(-71.132947, 42.380441999999995)",Point,Warren
4,JUN 14, Central Massachusetts Warren for President Volunteer Summit ,214, MA,"Worcester Hibernian Cultural Centre – 19 Temple Street, Worcester, MA",42.265275,-71.87941500000001,1.0,place,,,Worcester,MA,Worcester County,1601,US,TIGER/Line® dataset from the US Census Bureau,"Worcester County, MA: 214 guests"," Central Massachusetts Warren for President Volunteer Summit , Worcester Hibernian Cultural Centre – 19 Temple Street, Worcester, MA",#fbdaee,30,"(-71.87941500000001, 42.265275)",Point,Warren
5,JUN 9, East Waterloo House Party with Elizabeth Warren ,312, IA,"Home of Bridget Saffold - 405 Ankeny St., Waterloo, IA",42.459146999999994,-92.374227,1.0,street_center,,Home Plz,Waterloo,IA,Black Hawk County,50701,US,TIGER/Line® dataset from the US Census Bureau,"Black Hawk County, IA: 312 guests"," East Waterloo House Party with Elizabeth Warren , Home of Bridget Saffold - 405 Ankeny St., Waterloo, IA",#fbdaee,30,"(-92.374227, 42.459146999999994)",Point,Warren
6,JUN 5, Elkhart Community Conversation with Elizabeth Warren ,623, IN,"Northern Indiana Event Center, Elkhart, IN",41.71873,-85.937024,1.0,place,,,Elkhart,IN,Elkhart County,46514,US,TIGER/Line® dataset from the US Census Bureau,"Elkhart County, IN: 623 guests"," Elkhart Community Conversation with Elizabeth Warren , Northern Indiana Event Center, Elkhart, IN",#fbdaee,30,"(-85.937024, 41.71873)",Point,Warren
7,JUN 4, Lansing Town Hall with Elizabeth Warren ,2747, MI,"Lansing Community College Gannon Building – 422 N Washington Square, Lansing, MI",42.705176,-84.614109,0.8,street_center,,Old Lansing Rd,Lansing,MI,Eaton County,48917,US,TIGER/Line® dataset from the US Census Bureau,"Eaton County, MI: 2747 guests"," Lansing Town Hall with Elizabeth Warren , Lansing Community College Gannon Building – 422 N Washington Square, Lansing, MI",#fbdaee,30,"(-84.614109, 42.705176)",Point,Warren
8,JUN 4, Detroit Community Conversation with Elizabeth Warren ,450, MI,"Focus: HOPE, Detroit, MI",42.347021000000005,-83.06018399999999,1.0,place,,,Detroit,MI,Wayne County,48201,US,TIGER/Line® dataset from the US Census Bureau,"Wayne County, MI: 450 guests"," Detroit Community Conversation with Elizabeth Warren , Focus: HOPE, Detroit, MI",#fbdaee,30,"(-83.06018399999999, 42.347021000000005)",Point,Warren
9,MAY 31, Oakland Town Hall with Elizabeth Warren ,12315, CA,"Laney College Soccer Field - 821 5th Avenue, Oakland, CA",37.828790999999995,-122.221061,1.0,street_center,,Lane Ct,Oakland,CA,Alameda County,94611,US,TIGER/Line® dataset from the US Census Bureau,"Alameda County, CA: 12315 guests"," Oakland Town Hall with Elizabeth Warren , Laney College Soccer Field - 821 5th Avenue, Oakland, CA",#fbdaee,30,"(-122.221061, 37.828790999999995)",Point,Warren
10,MAY 27, Burlington Town Hall with Elizabeth Warren ,145, IA,"Port of Burlington, 400 N Front St, Burlington, IA",40.898412,-91.164393,1.0,place,,,Burlington,IA,Des Moines County,52601,US,TIGER/Line® dataset from the US Census Bureau,"Des Moines County, IA: 145 guests"," Burlington Town Hall with Elizabeth Warren , Port of Burlington, 400 N Front St, Burlington, IA",#fbdaee,20,"(-91.164393, 40.898412)",Point,Warren
11,MAY 26, Henry County Meet & Greet with Elizabeth Warren ,85, IA,"East Grove Farms, 1878 335th St, Salem, IA",40.857375,-91.610895,1.0,place,,,Salem,IA,Henry County,52649,US,TIGER/Line® dataset from the US Census Bureau,"Henry County, IA: 85 guests"," Henry County Meet & Greet with Elizabeth Warren , East Grove Farms, 1878 335th St, Salem, IA",#fbdaee,15,"(-91.610895, 40.857375)",Point,Warren
12,MAY 26, Fairfield Organizing Event with Elizabeth Warren ,144, IA,"Fairfield Arts & Convention Center (Atrium), 200 N Main St, Fairfield, IA",40.960901,-92.04829000000001,1.0,street_center,,Fairfield Rd,Libertyville,IA,Jefferson County,52567,US,TIGER/Line® dataset from the US Census Bureau,"Jefferson County, IA: 144 guests"," Fairfield Organizing Event with Elizabeth Warren , Fairfield Arts & Convention Center (Atrium), 200 N Main St, Fairfield, IA",#fbdaee,20,"(-92.04829000000001, 40.960901)",Point,Warren
13,MAY 26, Ottumwa Meet & Greet with Elizabeth Warren ,165, IA,"Hotel Ottumwa, 107 2nd St E, Ottumwa, IA",41.030933000000005,-92.409827,1.0,place,,,Ottumwa,IA,Wapello County,52501,US,TIGER/Line® dataset from the US Census Bureau,"Wapello County, IA: 165 guests"," Ottumwa Meet & Greet with Elizabeth Warren , Hotel Ottumwa, 107 2nd St E, Ottumwa, IA",#fbdaee,20,"(-92.409827, 41.030933000000005)",Point,Warren
14,MAY 26, Oskaloosa House Party with Elizabeth Warren ,48, IA,"Oskaloosa, IA",41.283366,-92.662675,1.0,place,,,Oskaloosa,IA,Mahaska County,52577,US,TIGER/Line® dataset from the US Census Bureau,"Mahaska County, IA: 48 guests"," Oskaloosa House Party with Elizabeth Warren , Oskaloosa, IA",#fbdaee,10,"(-92.662675, 41.283366)",Point,Warren
15,MAY 25, Newton Meet & Greet with Elizabeth Warren ,261, IA,"Aurora Heights Elementary, 310 E 23rd Street St, Newton, IA",41.718107,-93.012335,1.0,place,,,Newton,IA,Jasper County,50208,US,TIGER/Line® dataset from the US Census Bureau,"Jasper County, IA: 261 guests"," Newton Meet & Greet with Elizabeth Warren , Aurora Heights Elementary, 310 E 23rd Street St, Newton, IA",#fbdaee,30,"(-93.012335, 41.718107)",Point,Warren
16,MAY 22, Warren for President Western MA Volunteer Summit ,295, MA,"Gateway City Arts, Holyoke, MA",42.198291,-72.64206999999999,1.0,place,,,Holyoke,MA,Hampden County,1040,US,TIGER/Line® dataset from the US Census Bureau,"Hampden County, MA: 295 guests"," Warren for President Western MA Volunteer Summit , Gateway City Arts, Holyoke, MA",#fbdaee,30,"(-72.64206999999999, 42.198291)",Point,Warren
17,MAY 19, Nashua Town Hall with Elizabeth Warren ,768, NH,"Adult Learning Center, Nashua, NH",42.741295,-71.458793,1.0,place,,,Nashua,NH,Hillsborough County,3060,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 768 guests"," Nashua Town Hall with Elizabeth Warren , Adult Learning Center, Nashua, NH",#fbdaee,30,"(-71.458793, 42.741295)",Point,Warren
18,MAY 16, Northern Virginia Town Hall with Elizabeth Warren ,2974, VA,"Alan and Sally Merten Hall, Fairfax, VA",38.853231,-77.305097,1.0,place,,,Fairfax,VA,Fairfax city,22030,US,TIGER/Line® dataset from the US Census Bureau,"Fairfax city, VA: 2974 guests"," Northern Virginia Town Hall with Elizabeth Warren , Alan and Sally Merten Hall, Fairfax, VA",#fbdaee,30,"(-77.305097, 38.853231)",Point,Warren
19,MAY 11, Cincinnati Town Hall with Elizabeth Warren ,3117, OH,"Bogart's, Cincinnati, OH",39.166759000000006,-84.53822,1.0,place,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau,"Hamilton County, OH: 3117 guests"," Cincinnati Town Hall with Elizabeth Warren , Bogart's, Cincinnati, OH",#fbdaee,30,"(-84.53822, 39.166759000000006)",Point,Warren
20,MAY 10, Columbus Town Hall with Elizabeth Warren ,2408, OH,"Starling K8 – 145 S. Central Avenue, Columbus, OH",39.959003,-83.01015799999999,1.0,street_center,,Starling St,Columbus,OH,Franklin County,43215,US,TIGER/Line® dataset from the US Census Bureau,"Franklin County, OH: 2408 guests"," Columbus Town Hall with Elizabeth Warren , Starling K8 – 145 S. Central Avenue, Columbus, OH",#fbdaee,30,"(-83.01015799999999, 39.959003)",Point,Warren
21,MAY 10, Chillicothe Meet & Greet with Elizabeth Warren ,408, OH,"Amvets Post #4, Chillicothe, OH",39.337384,-82.991332,1.0,place,,,Chillicothe,OH,Ross County,45601,US,TIGER/Line® dataset from the US Census Bureau,"Ross County, OH: 408 guests"," Chillicothe Meet & Greet with Elizabeth Warren , Amvets Post #4, Chillicothe, OH",#fbdaee,30,"(-82.991332, 39.337384)",Point,Warren
22,MAY 4, Mason City Meet & Greet with Elizabeth Warren ,173, IA,"Fat Hill Brewing - 17 N. Federal Ave, Mason City, IA",43.116477,-93.27055899999999,1.0,place,,,Mason City,IA,Cerro Gordo County,50401,US,TIGER/Line® dataset from the US Census Bureau,"Cerro Gordo County, IA: 173 guests"," Mason City Meet & Greet with Elizabeth Warren , Fat Hill Brewing - 17 N. Federal Ave, Mason City, IA",#fbdaee,20,"(-93.27055899999999, 43.116477)",Point,Warren
23,MAY 4, Osage Meet & Greet with Elizabeth Warren ,73, IA,"Taste - 715 Main St, Osage, IA",43.320772999999996,-92.789683,1.0,place,,,Osage,IA,Mitchell County,50461,US,TIGER/Line® dataset from the US Census Bureau,"Mitchell County, IA: 73 guests"," Osage Meet & Greet with Elizabeth Warren , Taste - 715 Main St, Osage, IA",#fbdaee,15,"(-92.789683, 43.320772999999996)",Point,Warren
24,MAY 4, March in the Northampton Pride Parade with Team Warren! ,185, MA,"Northampton, Massachusetts, Northampton, MA",42.358613,-72.640557,1.0,street_center,,Northampton St,Northampton,MA,Hampshire County,1060,US,TIGER/Line® dataset from the US Census Bureau,"Hampshire County, MA: 185 guests"," March in the Northampton Pride Parade with Team Warren! , Northampton, Massachusetts, Northampton, MA",#fbdaee,20,"(-72.640557, 42.358613)",Point,Warren
25,MAY 3, Iowa Falls House Party with Elizabeth Warren ,106, IA,"Rivers Bend Bed & Breakfast - 635 Park Ave, Iowa Falls, IA",42.527173,-93.27515799999999,1.0,street_center,,River Rd,Iowa Falls,IA,Hardin County,50126,US,TIGER/Line® dataset from the US Census Bureau,"Hardin County, IA: 106 guests"," Iowa Falls House Party with Elizabeth Warren , Rivers Bend Bed & Breakfast - 635 Park Ave, Iowa Falls, IA",#fbdaee,20,"(-93.27515799999999, 42.527173)",Point,Warren
26,MAY 3, Ames Organizing Event at ISU with Elizabeth Warren ,378, IA,"Iowa State University Memorial Union, South Ballroom/South Hall - 2229 Lincoln Way Ames, IA",42.022921999999994,-93.649918,1.0,street_center,,Iowa State University,Ames,IA,Story County,50013,US,TIGER/Line® dataset from the US Census Bureau,"Story County, IA: 378 guests"," Ames Organizing Event at ISU with Elizabeth Warren , Iowa State University Memorial Union, South Ballroom/South Hall - 2229 Lincoln Way Ames, IA",#fbdaee,30,"(-93.649918, 42.022921999999994)",Point,Warren
