date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"JUN 29"," Meet and Greet with Dr. Jill Biden "," 37 "," IA","Ames Public Library, Rotary Room 515 Douglas Ave., Ames, IA",42.037879,-93.600254,1,place,,,Ames,IA,"Story County",50010,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 3"," Waterloo, IA: Community Event with Joe and Jill Biden "," 31 "," IA","UAW Local 838, Waterloo, IA",42.441117,-92.339209,1,place,,,Waterloo,IA,"Black Hawk County",50701,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 4"," March with Joe and Jill Biden in the Independe"," 2 "," IA","209 5th Ave. NE, Independence, IA",42.469864,-91.890063,1,rooftop,209,"5th Ave NE",Independence,IA,"Buchanan County",50644,US,Buchanan
"JUN 29"," Meet and Greet with Dr. Jill Biden "," 37 "," IA","Ames Public Library, Rotary Room 515 Douglas Ave., Ames, IA",42.037879,-93.600254,1,place,,,Ames,IA,"Story County",50010,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 28"," Meet and Greet with Dr. Jill Biden "," 41 "," IA","State Historical Museum of Iowa, 600 E. Locust St., Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 26"," Team Joe Miami Debate Visibility "," 280 "," FL","1300 Biscayne Blvd, Miami, FL",25.787626,-80.189873,1,rooftop,1300,"Biscayne Blvd",Miami,FL,"Miami-Dade County",33132,US,Miami
"JUN 22"," South Carolina Democratic Party Convention "," 16 "," SC","Columbia Metropolitan Convention Center, 1101 Lincoln Street, Columbia, SC",33.987454,-81.024864,1,place,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 21"," Rep. Clyburn's World Famous Fish Fry "," 21 "," SC","EdVenture Children's Museum, 211 Gervais Street, Columbia, SC",33.987454,-81.024864,1,place,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 19"," House Party with Jill Biden in Pelham "," 74 "," NH","Pelham, NH",42.740651,-71.318715,1,place,,,Pelham,NH,"Hillsborough County",03076,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 19"," Educator and Mental Health Roundtable with Jill Biden "," 9 "," NH","The Recital Hall Rochester Performance & Arts Center, 32 North Main Street, Rochester, NH",43.262994,-70.991203,1,place,,,Rochester,NH,"Strafford County",03839,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 12"," Clinton, IA: Community Event with Joe Biden "," 20 "," IA","Clinton Community College, Auditorium 1000 Lincoln Blvd., Clinton, IA",41.899176,-90.301599,1,place,,,Clinton,IA,"Clinton County",52732,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 11"," Davenport, IA: Community Event with Joe Biden "," 25 "," IA","Keppy 4-H Hall, Mississippi Valley Fairgrounds, 2815 Locust Street, Davenport, IA",41.521038,-90.574849,1,place,,,Davenport,IA,"Scott County",52801,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 11"," Mount Pleasant, IA: Community Event with Joe Biden "," 17 "," IA","Social Hall, Howe Student Activity Center at Iowa Wesleyan University, 601 N Main Street, Mount Pleasant, IA",40.994595,-91.573713,1,place,,,"Mount Pleasant",IA,"Henry County",52641,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 11"," Ottumwa, IA: Community Event with Joe Biden "," 64 "," IA","Bridge View Center, Ottumwa, IA",41.030933,-92.409827,1,place,,,Ottumwa,IA,"Wapello County",52501,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 4"," Concord, NH: Campaign Stop with Joe Biden "," 122 "," NH","IBEW Local 490, Concord New Hampshire, Concord, NH",43.230314,-71.536101,1,place,,,Concord,NH,"Merrimack County",03301,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 4"," Berlin, NH: Community Stop with Joe Biden "," 36 "," NH","168 Main St, Berlin, NH",44.469927,-71.179893,1,rooftop,168,"Main St",Berlin,NH,"Coos County",03570,US,Statewide
"MAY 18"," Biden for President Campaign Kick Off Rally in Philadelphia "," 1998 "," PA","Eakins Oval, 2451 Benjamin Franklin Pkwy, Philadelphia, PA",40.001811,-75.11787,1,place,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 7"," Henderson, NV: Campaign Stop with Joe Biden "," 213 "," NV","1701 Whitney Mesa Dr, Henderson, NV",36.077001,-115.069474,1,rooftop,1701,"Whitney Mesa Dr",Henderson,NV,"Clark County",89014,US,Henderson
"MAY 4"," Columbia, SC: Campaign Stop with Joe Biden "," 442 "," SC","950 Jackson Avenue, Columbia, SC",34.039074,-81.042858,1,range_interpolation,950,"Jackson Ave",Columbia,SC,"Richland County",29203,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 1"," Des Moines, IA: Campaign Stop with Joe Biden "," 535 "," IA","340 SW 3rd St, Des Moines, IA",41.581432,-93.619219,1,range_interpolation,340,"SW 3rd St","Des Moines",IA,"Polk County",50309,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 1"," Iowa City, IA: Campaign Stop with Joe Biden "," 424 "," IA","Big Grove Brewery & Taproom - Iowa City, Iowa City, IA",41.634209,-91.49905,1,place,,,"Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 30"," Dubuque, IA: Campaign Stop with Joe Biden "," 145 "," IA","500 Bell St, Dubuque, IA",42.498548,-90.655361,1,rooftop,500,"Bell St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"APR 30"," Cedar Rapids, IA: Campaign Stop with Joe Biden "," 87 "," IA","50 2nd Ave Brg, Cedar Rapids, IA",41.976387,-91.670985,1,range_interpolation,50,"2nd Avenue Brg","Cedar Rapids",IA,"Linn County",52401,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 29"," Pittsburgh, PA: Campaign Stop with Joe Biden "," 276 "," PA","4701 Butler St, Pittsburgh, PA",40.474352,-79.958177,1,rooftop,4701,"Butler St",Pittsburgh,PA,"Allegheny County",15201,US,Allegheny
