date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"JUN 29"," Protest for Justice, Keep Families Together ",1986," TX","419 Emancipation Ave., Houston, TX",29.753574,-95.348935,1,rooftop,419,"Emancipation Ave",Houston,TX,"Harris County",77003,US,"City of Houston"
"JUN 29"," Bands with Beto ft. Paul Wall and Gio Chamba ",2752," TX","The West End - A Public House, Houston, TX",29.813142,-95.309789,1,place,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 30"," Rally for Children at Clint Border Station ",1587," TX","13400 Alameda Ave, Clint, TX",31.580249,-106.226882,1,range_interpolation,13400,"Alameda Ave",Clint,TX,"El Paso County",79836,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 2"," Ames House Party with Beto & Amy ",259," IA","2108 Hughes Ave, Ames, IA",42.016904,-93.64288,1,rooftop,2108,"Hughes Ave",Ames,IA,"Story County",50014,US,Polk
"JUL 3"," St. Ansgar House Party with Beto & Amy O'Rourke ",157," IA","1360 487th St, St Ansgar, IA",43.471592,-92.948942,1,range_interpolation,1360,"487th St","Saint Ansgar",IA,"Mitchell County",50472,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 4"," March with Beto and Amy in the Annual Independence Day Parade ",294," IA","209 5th Ave NE, Independence, IA",42.469864,-91.890063,1,rooftop,209,"5th Ave NE",Independence,IA,"Buchanan County",50644,US,Buchanan
"JUL 4"," Williams House Party with Beto and Amy ",142," IA","311 Spruce St, Williams, IA",42.485888,-93.542195,1,rooftop,311,"Spruce St",Williams,IA,"Hamilton County",50271,US,Hamilton
"JUN 29"," Protest for Justice, Keep Families Together ",1986," TX","419 Emancipation Ave. Houston, TX",29.753574,-95.348935,1,rooftop,419,"Emancipation Ave",Houston,TX,"Harris County",77003,US,"City of Houston"
"JUN 28"," Tonight: Meet Beto with Music by Marcia Ball ",2636," TX","Scholz Garten, Austin, TX",30.326374,-97.771258,1,place,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 27"," Stand in Solidarity at Homestead ",505," FL","Homestead Detention Center, Homestead, FL",25.526889,-80.499812,0.9,place,,,Homestead,FL,"Broward County",33031,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 22"," South Carolina Democratic Convention Rally with Beto ",320," SC","Pearlz Oyster Bar Columbia, Columbia, SC",33.987454,-81.024864,1,place,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 21"," Join Beto at Congressman Clyburn’s World Famous Fish Fry ",352," SC","EdVenture Children’s Museum, Columbia, SC",33.987454,-81.024864,1,place,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 16"," Greenville Town Hall with Beto ",749," SC","29 Ridgeway Dr, Greenville, SC",34.788285,-82.384752,1,rooftop,29,"Ridgeway Dr",Greenville,SC,"Greenville County",29605,US,Greenville
"JUN 15"," Columbia Town Hall with Beto ",747," SC","Hunter-Gatherer at the Hangar, Columbia, SC",33.987454,-81.024864,1,place,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 15"," Sumter Town Hall with Beto ",296," SC","The Sidewalk Cafe, Sumter, SC",33.913678,-80.354238,1,place,,,Sumter,SC,"Sumter County",29150,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 12"," Pride Run with Beto ",446," NY","Rockefeller Park, New York, NY",40.758992,-73.978431,1,street_center,,"Rockefeller Plz","New York",NY,"New York County",10020,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 10"," Clinton Town Hall with Beto O'Rourke ",290," IA","1850 S Bluff Blvd, Clinton, IA",41.830999,-90.23541,1,range_interpolation,1850,"S Bluff Blvd",Clinton,IA,"Clinton County",52732,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 8"," Cedar Rapids Office Opening with Beto & Amy O'Rourke ",711," IA","417 3rd Ave SW, Cedar Rapids, IA",41.972621,-91.676409,1,rooftop,417,"3rd Ave SW","Cedar Rapids",IA,"Linn County",52404,US,Linn
"JUN 8"," Williamsburg Town Hall with Beto O'Rourke ",186," IA","939 Highland St, Williamsburg, IA",41.657739,-92.007518,0.9,range_interpolation,939,"S Highland St",Williamsburg,IA,"Iowa County",52361,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 7"," Knoxville Town Hall with Beto O'Rourke ",181," IA","107 W Main St, Knoxville, IA",41.319004,-93.099289,1,rooftop,107,"W Main St",Knoxville,IA,"Marion County",50138,US,Marion
"JUN 7"," Ottumwa Town Hall with Beto O'Rourke ",203," IA","107 E 2nd St, Ottumwa, IA",41.172251,-92.307807,1,range_interpolation,107,"E 2nd St",Hedrick,IA,"Keokuk County",52563,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 21"," CNN Town Hall Watch Party | Dubuque ",12," IA","1108 Locust St, Dubuque, IA",42.50312,-90.669468,1,rooftop,1108,"Locust St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
"MAY 21"," CNN Town Hall Watch Party | Bettendorf ",13," IA","Ross' Restaurant, Home of the ""Magic Mountain"", Bettendorf, IA",41.52448,-90.51569,1,place,,,Bettendorf,IA,"Scott County",52722,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 21"," CNN Town Hall Watch Party | Dallas ",12," TX","16957 Davenport Ct, Dallas, TX",32.980746,-96.795081,1,rooftop,16957,"Davenport Ct",Dallas,TX,"Dallas County",75248,US,Dallas
"MAY 21"," CNN Town Hall Watch Party | Iowa City ",5," IA","115 Iowa Ave, Iowa City, IA",41.661141,-91.534445,1,range_interpolation,115,"Iowa Ave","Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 21"," CNN Town Hall Watch Party | Cedar Rapids ",19," IA","Parlor City Pub & Eatery, Cedar Rapids, IA",41.976612,-91.657578,1,place,,,"Cedar Rapids",IA,"Linn County",52401,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 21"," CNN Town Hall Watch Party | Des Moines ",34," IA","Star Bar - Kitchen & Cocktails, Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 21"," CNN Town Hall Watch Party | Council Bluffs ",63," IA","114 W Broadway, Council Bluffs, IA",41.2631,-95.844336,1,rooftop,114,"W Broadway","Council Bluffs",IA,"Pottawattamie County",51503,US,Pottawattamie
"MAY 21"," CNN Town Hall Watch Party | Ames ",14," IA","Mother's Pub, Ames, IA",42.037879,-93.600254,1,place,,,Ames,IA,"Story County",50010,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 21"," CNN Town Hall Watch Party | Sioux City ",46," IA","Buffalo Alice, Sioux City, IA",42.494745,-96.399356,1,place,,,"Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
