,date,description,guests,state,location,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state_geo,state_fips,tiger_line,tract,zipcode
0,JUN 29, Northwest Vegas Barnstorm with Team Bernie ,261, NV,"101 S Rainbow Blvd, Las Vegas, NV",,, Las Vegas,,,",  Las Vegas,  NV, ",0,,No_Match,,,,, NV,,,,
1,JUN 29, Nashua Pride Parade with Bernie Sanders ,941, NH,"Elm Street Middle School, Nashua, NH",,, Nashua,,,",  Nashua,  NH, ",1,,No_Match,,,,, NH,,,,
2,JUN 29, Nashua Area Office Opening with Bernie Sanders ,411, NH,"77 Derry St, Hudson, NH",,, Hudson,,,",  Hudson,  NH, ",2,,No_Match,,,,, NH,,,,
3,JUN 29, East Las Vegas Barnstorm with Team Bernie ,138, NV,"5001 E Bonanza Rd, Las Vegas, NV",,, Las Vegas,,,",  Las Vegas,  NV, ",3,,No_Match,,,,, NV,,,,
4,JUN 30, Reno Barnstorm with Team Bernie ,183, NV,"Evelyn Mount Northeast Community Center, Reno, NV",,, Reno,,,",  Reno,  NV, ",4,,No_Match,,,,, NV,,,,
5,JUN 30, Ice Cream Social in Rochester with Bernie Sanders ,399, NH,"The Governors Inn Hotel & Restaurant, Rochester, NH",,, Rochester,,,",  Rochester,  NH, ",5,,No_Match,,,,, NH,,,,
6,JUN 30, Ice Cream Social in Hampton with Bernie Sanders ,284, NH,"Hampton Centre School, Hampton, NH",,, Hampton,,,",  Hampton,  NH, ",6,,No_Match,,,,, NH,,,,
7,JUN 30," Ice Cream Social in Windham, NH with Bernie Sanders ",489, NH,"Windham High School ,New Hampshire,Windham, NH",,,Windham,,,", Windham,  NH, ",7,,No_Match,,,,, NH,,,,
8,JUL 2, Ice Cream Social in Iowa City with Bernie Sanders ,1361,IA,,,,,,,", , , ",8,,No_Match,,,,,,,,,
9,JUL 3, Iowa City Office Opening with Bernie Sanders ,187, IA,"1745 Boyrum St, Iowa City, IA",,, Iowa City,,,",  Iowa City,  IA, ",9,,No_Match,,,,, IA,,,,
10,JUL 3, Immigration Roundtable with Bernie Sanders ,41, IA,"Machinist Hall, Des Moines, IA",,, Des Moines,,,",  Des Moines,  IA, ",10,,No_Match,,,,, IA,,,,
11,JUL 3, Des Moines Office Opening with Bernie Sanders ,112, IA,"401 SW 8th St, Des Moines, IA",,, Des Moines,,,",  Des Moines,  IA, ",11,,No_Match,,,,, IA,,,,
12,JUL 3, West Des Moines Independence Day Parade with Bernie Sanders ,52, IA,"Valley High School, West Des Moines, IA",,, West Des Moines,,,",  West Des Moines,  IA, ",12,,No_Match,,,,, IA,,,,
13,JUL 4, Slater Independence Day Parade with Bernie Sanders ,28,MO,"Slater, MO",,,Slater,,,", Slater,  MO, ",13,,No_Match,,,,, MO,,,,
14,JUL 4, Ames Independence Day Parade with Bernie Sanders ,134,IA,"Ames,IA",,,Ames,,,", Ames, IA, ",14,,No_Match,,,,,IA,,,,
15,JUL 4, Ames Office Opening and Ice Cream Social with Bernie Sanders ,69, IA,"114 Kellogg Ave, Ames, IA",,, Ames,,,",  Ames,  IA, ",15,,No_Match,,,,, IA,,,,
16,JUL 4, Windsor Heights Independence Day Parade with Bernie Sanders ,21, IA,"7370 Hickman Rd, Windsor Heights, IA",,, Windsor Heights,,,",  Windsor Heights,  IA, ",16,,No_Match,,,,, IA,,,,
17,JUL 4, Pella Independence Day Parade with Bernie Sanders ,39,IA,"Pella, IA",,,Pella,,,", Pella,  IA, ",17,,No_Match,,,,, IA,,,,
18,JUL 13, Southeast Las Vegas Barnstorm with Team Bernie ,173, NV,"Black Mountain Rec, Henderson, NV",,, Henderson,,,",  Henderson,  NV, ",18,,No_Match,,,,, NV,,,,
19,JUL 13, Southwest Vegas Barnstorm with Team Bernie ,47, NV,"Spring Valley Library, Las Vegas, NV",,, Las Vegas,,,",  Las Vegas,  NV, ",19,,No_Match,,,,, NV,,,,
20,JUN 29, Nashua Pride Parade with Bernie Sanders ,941, NH,"Elm Street Middle School, Nashua, NH",,, Nashua,,,",  Nashua,  NH, ",20,,No_Match,,,,, NH,,,,
21,JUN 29, Northwest Vegas Barnstorm with Team Bernie ,261, NV,"101 S Rainbow Blvd, Las Vegas, NV",,, Las Vegas,,,",  Las Vegas,  NV, ",21,,No_Match,,,,, NV,,,,
22,JUN 23, Town Hall in Rock Hill with Bernie Sanders ,1067, SC,"Clinton College, Rock Hill, SC",,, Rock Hill,,,",  Rock Hill,  SC, ",22,,No_Match,,,,, SC,,,,
23,JUN 22, Backyard Bash in Columbia with Bernie ,720, SC,"Columbia Metropolitan Convention Center, Columbia, SC",,, Columbia,,,",  Columbia,  SC, ",23,,No_Match,,,,, SC,,,,
24,JUN 20, Laconia Barnstorm with Team Bernie ,38, NH,"1487 N Main St, Laconia, NH",,, Laconia,,,",  Laconia,  NH, ",24,,No_Match,,,,, NH,,,,
25,JUN 20, Portsmouth Barnstorm with Team Bernie ,130, NH,"Cup of Joe, Portsmouth, NH",,, Portsmouth,,,",  Portsmouth,  NH, ",25,,No_Match,,,,, NH,,,,
26,JUN 20, Keene Barnstorm with Team Bernie ,116, NH,"181 Marlboro St, Keene, NH",,, Keene,,,",  Keene,  NH, ",26,,No_Match,,,,, NH,,,,
27,JUN 20, Nashua Barnstorm with Team Bernie ,121, NH,"Nashua Public Library, Nashua, NH",,, Nashua,,,",  Nashua,  NH, ",27,,No_Match,,,,, NH,,,,
28,JUN 20, Concord Barnstorm with Team Bernie ,66, NH,"True Brew Cafe, Concord, NH",,, Concord,,,",  Concord,  NH, ",28,,No_Match,,,,, NH,,,,
