date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"JUN 29"," Northwest Vegas Barnstorm with Team Bernie ",261," NV","101 S Rainbow Blvd, Las Vegas, NV",36.172521,-115.243726,1,rooftop,101,"S Rainbow Blvd","Las Vegas",NV,"Clark County",89107,US,"Las Vegas"
"JUN 29"," Nashua Pride Parade with Bernie Sanders ",941," NH","Elm Street Middle School, Nashua, NH",42.756472,-71.465246,1,street_center,,"Elm St",Nashua,NH,"Hillsborough County",03060,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 29"," Nashua Area Office Opening with Bernie Sanders ",411," NH","77 Derry St, Hudson, NH",42.765264,-71.440138,1,range_interpolation,77,"Derry St",Hudson,NH,"Hillsborough County",03051,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 29"," East Las Vegas Barnstorm with Team Bernie ",138," NV","5001 E Bonanza Rd, Las Vegas, NV",36.172996,-115.064546,1,rooftop,5001,"E Bonanza Rd","Las Vegas",NV,"Clark County",89110,US,"Las Vegas"
"JUN 30"," Reno Barnstorm with Team Bernie ",183," NV","Evelyn Mount Northeast Community Center, Reno, NV",39.492272,-119.779824,1,street_center,,"Evelyn Way",Reno,NV,"Washoe County",89502,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 30"," Ice Cream Social in Rochester with Bernie Sanders ",399," NH","The Governors Inn Hotel & Restaurant, Rochester, NH",43.262994,-70.991203,1,place,,,Rochester,NH,"Strafford County",03839,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 30"," Ice Cream Social in Hampton with Bernie Sanders ",284," NH","Hampton Centre School, Hampton, NH",42.939601,-70.836728,1,place,,,Hampton,NH,"Rockingham County",03842,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 30"," Ice Cream Social in Windham, NH with Bernie Sanders ",489," NH","Windham High School ,New Hampshire,Windham, NH",42.80064,-71.30423,0.33,place,,,Windham,NH,"Rockingham County",03087,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 2"," Ice Cream Social in Iowa City with Bernie Sanders ",1361,IA,,0,0,0,,,,,,,,,
"JUL 3"," Iowa City Office Opening with Bernie Sanders ",187," IA","1745 Boyrum St, Iowa City, IA",41.643749,-91.528757,1,rooftop,1745,"Boyrum St","Iowa City",IA,"Johnson County",52240,US,Johnson
"JUL 3"," Immigration Roundtable with Bernie Sanders ",41," IA","Machinist Hall, Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 3"," Des Moines Office Opening with Bernie Sanders ",112," IA","401 SW 8th St, Des Moines, IA",41.579341,-93.624483,1,rooftop,401,"SW 8th St","Des Moines",IA,"Polk County",50309,US,Polk
"JUL 3"," West Des Moines Independence Day Parade with Bernie Sanders ",52," IA","Valley High School, West Des Moines, IA",41.567138,-93.717232,1,place,,,"West Des Moines",IA,"Polk County",50265,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 4"," Slater Independence Day Parade with Bernie Sanders ",28,MO,"Slater, MO",39.21808,-93.06909,1,place,,,Slater,MO,"Saline County",65349,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 4"," Ames Independence Day Parade with Bernie Sanders ",134,IA,"Ames,IA",42.037879,-93.600254,1,place,,,Ames,IA,"Story County",50010,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 4"," Ames Office Opening and Ice Cream Social with Bernie Sanders ",69," IA","114 Kellogg Ave, Ames, IA",42.023477,-93.613221,1,rooftop,114,"Kellogg Ave",Ames,IA,"Story County",50010,US,Polk
"JUL 4"," Windsor Heights Independence Day Parade with Bernie Sanders ",21," IA","7370 Hickman Rd, Windsor Heights, IA",41.613954,-93.719324,1,rooftop,7370,"Hickman Rd","Windsor Heights",IA,"Polk County",50324,US,Polk
"JUL 4"," Pella Independence Day Parade with Bernie Sanders ",39,IA,"Pella, IA",41.40805,-92.91631,1,place,,,Pella,IA,"Marion County",50219,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 13"," Southeast Las Vegas Barnstorm with Team Bernie ",173," NV","Black Mountain Rec, Henderson, NV",35.927901,-114.972061,0.33,place,,,Henderson,NV,"Clark County",89009,US,"TIGER/Line® dataset from the US Census Bureau"
"JUL 13"," Southwest Vegas Barnstorm with Team Bernie ",47," NV","Spring Valley Library, Las Vegas, NV",36.105967,-115.249544,1,street_center,,"Spring Valley Pkwy","Las Vegas",NV,"Clark County",89147,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 29"," Nashua Pride Parade with Bernie Sanders ",941," NH","Elm Street Middle School, Nashua, NH",42.756472,-71.465246,1,street_center,,"Elm St",Nashua,NH,"Hillsborough County",03060,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 29"," Northwest Vegas Barnstorm with Team Bernie ",261," NV","101 S Rainbow Blvd, Las Vegas, NV",36.172521,-115.243726,1,rooftop,101,"S Rainbow Blvd","Las Vegas",NV,"Clark County",89107,US,"Las Vegas"
"JUN 23"," Town Hall in Rock Hill with Bernie Sanders ",1067," SC","Clinton College, Rock Hill, SC",34.909109,-81.052437,1,place,,,"Rock Hill",SC,"York County",29730,US,"TIGER/Line® dataset from the US Census Bureau"
