date,description,guests,state,location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,properties.headline,properties.articles,properties.color,properties.radius,geometry.coordinates,geometry.type,candidate
JUN 29, Northwest Vegas Barnstorm with Team Bernie ,261, NV,"101 S Rainbow Blvd, Las Vegas, NV",36.172521,-115.243726,1.0,rooftop,101.0,S Rainbow Blvd,Las Vegas,NV,Clark County,89107.0,US,Las Vegas,"Clark County, NV: 261 guests"," Northwest Vegas Barnstorm with Team Bernie , 101 S Rainbow Blvd, Las Vegas, NV",#f67e7d,30,"(-115.243726, 36.172521)",Point,Sanders
JUN 29, Nashua Pride Parade with Bernie Sanders ,941, NH,"Elm Street Middle School, Nashua, NH",42.756471999999995,-71.465246,1.0,street_center,,Elm St,Nashua,NH,Hillsborough County,3060.0,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 941 guests"," Nashua Pride Parade with Bernie Sanders , Elm Street Middle School, Nashua, NH",#f67e7d,30,"(-71.465246, 42.756471999999995)",Point,Sanders
JUN 29, Nashua Area Office Opening with Bernie Sanders ,411, NH,"77 Derry St, Hudson, NH",42.765264,-71.440138,1.0,range_interpolation,77.0,Derry St,Hudson,NH,Hillsborough County,3051.0,US,TIGER/Line® dataset from the US Census Bureau,"Hillsborough County, NH: 411 guests"," Nashua Area Office Opening with Bernie Sanders , 77 Derry St, Hudson, NH",#f67e7d,30,"(-71.440138, 42.765264)",Point,Sanders
JUN 29, East Las Vegas Barnstorm with Team Bernie ,138, NV,"5001 E Bonanza Rd, Las Vegas, NV",36.172996000000005,-115.06454599999999,1.0,rooftop,5001.0,E Bonanza Rd,Las Vegas,NV,Clark County,89110.0,US,Las Vegas,"Clark County, NV: 138 guests"," East Las Vegas Barnstorm with Team Bernie , 5001 E Bonanza Rd, Las Vegas, NV",#f67e7d,20,"(-115.06454599999999, 36.172996000000005)",Point,Sanders
JUN 30, Reno Barnstorm with Team Bernie ,183, NV,"Evelyn Mount Northeast Community Center, Reno, NV",39.492272,-119.779824,1.0,street_center,,Evelyn Way,Reno,NV,Washoe County,89502.0,US,TIGER/Line® dataset from the US Census Bureau,"Washoe County, NV: 183 guests"," Reno Barnstorm with Team Bernie , Evelyn Mount Northeast Community Center, Reno, NV",#f67e7d,20,"(-119.779824, 39.492272)",Point,Sanders
JUN 30, Ice Cream Social in Rochester with Bernie Sanders ,399, NH,"The Governors Inn Hotel & Restaurant, Rochester, NH",43.262994,-70.991203,1.0,place,,,Rochester,NH,Strafford County,3839.0,US,TIGER/Line® dataset from the US Census Bureau,"Strafford County, NH: 399 guests"," Ice Cream Social in Rochester with Bernie Sanders , The Governors Inn Hotel & Restaurant, Rochester, NH",#f67e7d,30,"(-70.991203, 43.262994)",Point,Sanders
JUN 30, Ice Cream Social in Hampton with Bernie Sanders ,284, NH,"Hampton Centre School, Hampton, NH",42.939601,-70.83672800000001,1.0,place,,,Hampton,NH,Rockingham County,3842.0,US,TIGER/Line® dataset from the US Census Bureau,"Rockingham County, NH: 284 guests"," Ice Cream Social in Hampton with Bernie Sanders , Hampton Centre School, Hampton, NH",#f67e7d,30,"(-70.83672800000001, 42.939601)",Point,Sanders
JUN 30," Ice Cream Social in Windham, NH with Bernie Sanders ",489, NH,"Windham High School ,New Hampshire,Windham, NH",42.80064,-71.30423,0.33,place,,,Windham,NH,Rockingham County,3087.0,US,TIGER/Line® dataset from the US Census Bureau,"Rockingham County, NH: 489 guests"," Ice Cream Social in Windham, NH with Bernie Sanders , Windham High School ,New Hampshire,Windham, NH",#f67e7d,30,"(-71.30423, 42.80064)",Point,Sanders
JUL 2, Ice Cream Social in Iowa City with Bernie Sanders ,1361,IA,,0.0,0.0,0.0,,,,,,,,,,,,#f67e7d,30,"(0.0, 0.0)",Point,Sanders
JUL 3, Iowa City Office Opening with Bernie Sanders ,187, IA,"1745 Boyrum St, Iowa City, IA",41.643749,-91.528757,1.0,rooftop,1745.0,Boyrum St,Iowa City,IA,Johnson County,52240.0,US,Johnson,"Johnson County, IA: 187 guests"," Iowa City Office Opening with Bernie Sanders , 1745 Boyrum St, Iowa City, IA",#f67e7d,20,"(-91.528757, 41.643749)",Point,Sanders
