date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"JUL 1"," Team Warren Organizing Meeting with Rep. Joe Kennedy III ",1026," MA","Newton, MAG",39.124505,-84.361606,0.9,place,,,Newtown,OH,"Hamilton County",45244,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 28"," Chicago Town Hall with Elizabeth Warren ",10786," IL","Auditorium Theatre, Chicago, IL",41.88531,-87.62213,1,place,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 25"," Miami Town Hall with Elizabeth Warren ",3101," FL","Ocean Bank Convocation Center, Miami, FL",25.9663,-80.119447,1,street_center,,"Ocean Blvd","North Miami Beach",FL,"Miami-Dade County",33160,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 19"," Greater Boston Warren for President Volunteer Summit ",1223," MA","Washburn Auditorium – 10 Phillips Place, Cambridge, MA",42.380442,-71.132947,1,place,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 14"," Central Massachusetts Warren for President Volunteer Summit ",214," MA","Worcester Hibernian Cultural Centre – 19 Temple Street, Worcester, MA",42.265275,-71.879415,1,place,,,Worcester,MA,"Worcester County",01601,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 9"," East Waterloo House Party with Elizabeth Warren ",312," IA","Home of Bridget Saffold - 405 Ankeny St., Waterloo, IA",42.459147,-92.374227,1,street_center,,"Home Plz",Waterloo,IA,"Black Hawk County",50701,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 5"," Elkhart Community Conversation with Elizabeth Warren ",623," IN","Northern Indiana Event Center, Elkhart, IN",41.71873,-85.937024,1,place,,,Elkhart,IN,"Elkhart County",46514,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 4"," Lansing Town Hall with Elizabeth Warren ",2747," MI","Lansing Community College Gannon Building – 422 N Washington Square, Lansing, MI",42.705176,-84.614109,0.8,street_center,,"Old Lansing Rd",Lansing,MI,"Eaton County",48917,US,"TIGER/Line® dataset from the US Census Bureau"
"JUN 4"," Detroit Community Conversation with Elizabeth Warren ",450," MI","Focus: HOPE, Detroit, MI",42.347021,-83.060184,1,place,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
"MAY 31"," Oakland Town Hall with Elizabeth Warren ",12315," CA","Laney College Soccer Field - 821 5th Avenue, Oakland, CA",37.828791,-122.221061,1,street_center,,"Lane Ct",Oakland,CA,"Alameda County",94611,US,"TIGER/Line® dataset from the US Census Bureau"
